Epoch,Loss,Accuracy
1,1.8180406037678343,64.46
2,1.7082731362853223,75.27
3,1.6504673019909402,81.02833333333334
4,1.6394494136513422,82.135
5,1.6294713048284242,83.125
6,1.569012818051808,89.23666666666666
7,1.5432081474169994,91.795
8,1.5396204759825523,92.16666666666667
9,1.5326166661309282,92.84333333333333
10,1.5341039298694017,92.70166666666667
11,1.5294803480095447,93.14666666666666
12,1.528462072171128,93.26833333333333
13,1.5276487262518421,93.34
14,1.5232516407712435,93.775
15,1.5225130362805528,93.85333333333334
16,1.5234173955693682,93.775
17,1.5215457258448164,93.93166666666667
18,1.520463265335636,94.03666666666666
19,1.5175912669980958,94.34
20,1.5163188552551432,94.46666666666667
